epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1805.65,0.62522,0.36481,0.94754,0.9956,0.875,0.87572,0.7143,0.50483,0.26608,0.88116,0.000676802,0.000676802,0.000676802
62,1835.29,0.61929,0.34799,0.94674,0.99763,0.87442,0.87,0.69604,0.5342,0.27613,0.90572,0.000660299,0.000660299,0.000660299
63,1865.07,0.63107,0.35796,0.94789,0.99822,0.87248,0.87642,0.65911,0.57397,0.32306,0.92783,0.000643795,0.000643795,0.000643795
64,1894.96,0.61886,0.35251,0.94212,0.99813,0.87347,0.87,0.70017,0.54357,0.28468,0.91269,0.000627292,0.000627292,0.000627292
65,1925.13,0.61397,0.35146,0.9442,0.99751,0.875,0.87,0.70838,0.50478,0.27692,0.88745,0.000610789,0.000610789,0.000610789
66,1955.1,0.61554,0.34715,0.94658,0.99819,0.875,0.87,0.69834,0.53747,0.30307,0.90503,0.000594286,0.000594286,0.000594286
67,1985.31,0.62034,0.34499,0.94004,0.99777,0.875,0.87,0.69377,0.53515,0.27481,0.88723,0.000577782,0.000577782,0.000577782
68,2015.31,0.61925,0.35249,0.94763,0.99756,0.875,0.87,0.65495,0.56976,0.32418,0.93071,0.000561279,0.000561279,0.000561279
69,2045.18,0.61455,0.34526,0.94546,0.99771,0.87382,0.87,0.67666,0.55073,0.30517,0.91016,0.000544776,0.000544776,0.000544776
70,2075.08,0.62265,0.34683,0.95002,0.99803,0.87364,0.87,0.70663,0.52217,0.30911,0.90517,0.000528272,0.000528272,0.000528272
71,2104.78,0.60249,0.33961,0.93639,0.99798,0.87431,0.87,0.7054,0.53493,0.29577,0.8937,0.000511769,0.000511769,0.000511769
72,2134.49,0.62034,0.34109,0.945,0.99814,0.87417,0.87,0.66114,0.55668,0.32727,0.93213,0.000495266,0.000495266,0.000495266
73,2164.19,0.60543,0.32896,0.93734,0.99825,0.87489,0.87,0.66802,0.55632,0.29422,0.90987,0.000478762,0.000478762,0.000478762
74,2194.22,0.5976,0.33831,0.93955,0.99721,0.875,0.87,0.64397,0.56157,0.30939,0.91467,0.000462259,0.000462259,0.000462259
75,2224.1,0.61394,0.33836,0.94399,0.99822,0.87055,0.87,0.66556,0.5526,0.2898,0.90748,0.000445756,0.000445756,0.000445756
76,2253.97,0.59024,0.32605,0.92479,0.99816,0.8709,0.87,0.72115,0.50305,0.27225,0.88736,0.000429253,0.000429253,0.000429253
77,2283.96,0.59279,0.32805,0.93696,0.99741,0.87389,0.87,0.70203,0.51478,0.28379,0.90252,0.000412749,0.000412749,0.000412749
78,2314.46,0.5881,0.32436,0.93299,0.99813,0.87257,0.87,0.70779,0.52472,0.2957,0.89515,0.000396246,0.000396246,0.000396246
79,2344.84,0.60884,0.32489,0.93946,0.99753,0.875,0.87,0.70606,0.51804,0.27633,0.90212,0.000379743,0.000379743,0.000379743
80,2375,0.58311,0.31785,0.93061,0.99774,0.875,0.87,0.70742,0.52422,0.27511,0.8913,0.000363239,0.000363239,0.000363239
81,2404.72,0.57441,0.31788,0.92462,0.99763,0.87307,0.87,0.70088,0.50441,0.25138,0.88481,0.000346736,0.000346736,0.000346736
82,2434.47,0.58735,0.32531,0.92987,0.99489,0.875,0.87,0.70127,0.534,0.26663,0.89792,0.000330233,0.000330233,0.000330233
83,2464.26,0.58016,0.31943,0.92974,0.99823,0.87466,0.87,0.72056,0.48951,0.23793,0.88141,0.000313729,0.000313729,0.000313729
84,2494.06,0.57824,0.31329,0.92933,0.99767,0.875,0.87,0.71713,0.4939,0.27122,0.8868,0.000297226,0.000297226,0.000297226
85,2523.73,0.57278,0.30985,0.92445,0.99825,0.87361,0.87,0.6982,0.51907,0.27438,0.89081,0.000280723,0.000280723,0.000280723
86,2553.33,0.56627,0.30781,0.9211,0.99576,0.875,0.87,0.70639,0.51582,0.27658,0.88798,0.00026422,0.00026422,0.00026422
87,2583.07,0.57496,0.30848,0.92247,0.99815,0.87435,0.87,0.72283,0.48204,0.25243,0.88194,0.000247716,0.000247716,0.000247716
88,2613.4,0.56274,0.30426,0.92413,0.99792,0.875,0.87,0.70182,0.50756,0.2805,0.89469,0.000231213,0.000231213,0.000231213
89,2643.45,0.56664,0.3063,0.92194,0.99818,0.875,0.87,0.69527,0.53116,0.28104,0.89958,0.00021471,0.00021471,0.00021471
90,2673.3,0.55837,0.29781,0.91865,0.99783,0.875,0.87,0.69891,0.52717,0.27121,0.89757,0.000198206,0.000198206,0.000198206
91,2703.87,0.54158,0.26836,0.88823,0.99724,0.875,0.87,0.69581,0.54077,0.27526,0.90542,0.000181703,0.000181703,0.000181703
92,2733.34,0.53298,0.25965,0.89235,0.9963,0.87275,0.87,0.69538,0.51771,0.26926,0.89876,0.0001652,0.0001652,0.0001652
93,2762.75,0.53269,0.25898,0.88732,0.996,0.87275,0.87,0.71373,0.51176,0.25718,0.8934,0.000148696,0.000148696,0.000148696
94,2792.16,0.5301,0.2547,0.88206,0.9982,0.87272,0.87,0.71713,0.50312,0.25237,0.89239,0.000132193,0.000132193,0.000132193
95,2821.6,0.52298,0.25448,0.88276,0.99821,0.8736,0.87,0.71229,0.51306,0.25392,0.89408,0.00011569,0.00011569,0.00011569
96,2851.1,0.52346,0.24949,0.88213,0.99833,0.87484,0.87,0.71103,0.51574,0.25319,0.89438,9.91865e-05,9.91865e-05,9.91865e-05
97,2880.57,0.5125,0.24512,0.88802,0.99743,0.875,0.87,0.7162,0.5198,0.25766,0.89434,8.26832e-05,8.26832e-05,8.26832e-05
98,2909.94,0.51339,0.24638,0.88364,0.99823,0.87286,0.87,0.71953,0.51152,0.25194,0.8929,6.61799e-05,6.61799e-05,6.61799e-05
99,2939.36,0.51248,0.24527,0.87392,0.99757,0.875,0.87,0.71649,0.51726,0.25436,0.89219,4.96766e-05,4.96766e-05,4.96766e-05
100,2968.79,0.50695,0.24175,0.87601,0.99685,0.875,0.87,0.71065,0.52375,0.25192,0.89495,3.31733e-05,3.31733e-05,3.31733e-05
